City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
448,ulladulla,-35.35,150.4667,293.82,72,100,3.75,AU,1731390293
449,tambacounda,13.7539,-13.7586,297.89,23,94,2.21,SN,1731390295
450,warrenton,-28.114,24.8475,294.34,52,1,5.42,ZA,1731390296
451,bam,29.106,58.357,295.77,25,0,1.66,IR,1731390298
452,gaspe,48.8334,-64.4819,275.27,93,20,2.57,CA,1731390299
453,birganj,27.0104,84.8774,301.44,44,0,1.56,NP,1731390300
454,piton saint-leu,-21.2196,55.3151,299.21,65,0,8.75,RE,1731390302
455,obo,5.3998,26.4869,296.77,84,26,0.97,CF,1731390303
456,mankera,31.3866,71.4407,301.05,32,6,2.04,PK,1731390305
457,pangody,65.85,74.4859,252.47,98,98,4.69,RU,1731390306
458,ojinaga,29.5667,-104.4167,292.68,32,0,3.09,MX,1731390307
459,tchintabaraden,15.8969,5.7985,292.83,26,0,4.47,NE,1731390309
460,ondjiva,-17.0667,15.7333,293.17,83,95,1.03,AO,1731390310
461,ginir,7.1333,40.7,292.28,37,49,2.37,ET,1731390313
462,gulf shores,30.246,-87.7008,295.38,88,100,3.09,US,1731390315
463,college,64.8569,-147.8028,252.14,77,75,0.0,US,1731390316
464,ar rutbah,33.0381,40.2848,289.27,53,100,1.11,IQ,1731390317
465,papao,-17.75,-149.55,299.97,82,87,8.61,PF,1731390319
466,pudozh,61.8099,36.5345,272.41,90,100,1.8,RU,1731390320
467,nyrob,60.733,56.7202,270.72,95,100,3.22,RU,1731390322
468,elin pelin,42.6667,23.6,273.87,100,100,1.03,BG,1731390323
469,lata,40.1629,-8.3327,281.34,78,2,2.51,PT,1731390324
470,chos malal,-37.3781,-70.2709,288.99,40,67,2.48,AR,1731390326
471,daru,-9.0763,143.2092,300.91,81,100,5.87,PG,1731390327
472,essaouira,31.5125,-9.77,287.87,94,2,0.51,MA,1731390329
473,takayama,36.1333,137.25,291.52,62,34,2.44,JP,1731390330
474,canutama,-6.5339,-64.3831,297.89,78,75,0.63,BR,1731390331
475,namibe,-15.1961,12.1522,295.95,67,51,2.11,AO,1731390333
476,codajas,-3.8367,-62.0569,298.2,74,77,0.8,BR,1731390334
477,kuanda,56.3161,116.0806,262.04,80,75,0.16,RU,1731390336
478,noyabrsk,63.1994,75.4507,253.05,97,98,5.84,RU,1731390337
479,petrozavodsk,61.7849,34.3469,271.85,93,100,0.0,RU,1731390338
480,urangan,-25.3,152.9,297.61,80,100,8.97,AU,1731390340
481,yanam,16.7333,82.2167,302.46,70,99,4.29,IN,1731390341
482,san bartolo,19.1833,-100.05,284.35,68,76,3.4,MX,1731390342
483,hotan,37.0997,79.9269,286.39,34,13,2.47,CN,1731390344
484,la foa,-21.7108,165.8276,301.43,50,11,2.24,NC,1731390347
485,shahrud,36.4182,54.9763,286.38,39,84,2.46,IR,1731390348
486,nambucca heads,-30.65,153.0,292.84,90,78,4.54,AU,1731390349
487,nagqu,31.5,92.0,279.28,10,34,10.02,CN,1731390351
488,huarmey,-10.0681,-78.1522,291.46,88,100,3.64,PE,1731390352
489,palmer,42.1584,-72.3287,284.96,64,39,2.59,US,1731390354
